"","A.thaliana_p_val","A.thaliana_avg_log2FC","A.thaliana_pct.1","A.thaliana_pct.2","A.thaliana_p_val_adj","C.hirsuta_p_val","C.hirsuta_avg_log2FC","C.hirsuta_pct.1","C.hirsuta_pct.2","C.hirsuta_p_val_adj","max_pval","minimump_p_val","gene_ID"
"AT1G53060",0,1.34965203985362,0.395,0.024,0,7.62293994250629e-93,2.41143679567645,0.881,0.291,1.39934308524588e-88,7.62293994250629e-93,0,"AT1G53060"
"AT1G56580",0,2.00819170140037,0.847,0.156,0,6.55229454700266e-54,2.67572352245837,0.875,0.368,1.20280470999328e-49,6.55229454700266e-54,0,"AT1G56580"
"AT1G62300",0,1.5292769779585,0.515,0.062,0,7.48555092437521e-49,1.7021862259997,0.506,0.128,1.37412258318756e-44,7.48555092437521e-49,0,"AT1G62300"
"AT3G28910",0,2.9383267727159,0.771,0.1,0,2.67173326693537e-71,1.7365222067309,0.738,0.193,4.90450075811325e-67,2.67173326693537e-71,0,"AT3G28910"
"AT3G43720",0,1.92288105632219,0.875,0.125,0,2.10273796619372e-67,1.17638177792338,0.819,0.23,3.85999608454181e-63,2.10273796619372e-67,0,"AT3G43720"
"AT2G04570",0,1.8587519895825,0.462,0.035,0,6.49260026724847e-83,1.63018031368838,0.556,0.105,1.1918466310588e-78,6.49260026724847e-83,0,"AT2G04570"
"AT2G19450",0,0.85030653806777,0.454,0.045,0,1.64033855829582e-43,0.628834783256898,0.444,0.115,3.01116949146363e-39,1.64033855829582e-43,0,"AT2G19450"
"AT2G41475",0,1.23520614626729,0.785,0.152,0,1.41113704907494e-51,0.994963335817743,0.681,0.223,2.59042428098686e-47,1.41113704907494e-51,0,"AT2G41475"
"AT4G18910",0,2.06688530471744,0.687,0.088,0,7.48263994859893e-57,1.07290645445206,0.494,0.111,1.37358821536431e-52,7.48263994859893e-57,0,"AT4G18910"
"AT4G18970",0,2.20507326231777,0.618,0.098,0,4.13276002745509e-172,2.8895791511663,0.806,0.129,7.58650758239931e-168,4.13276002745509e-172,0,"AT4G18970"
"AT4G35070",0,0.685091062562084,0.36,0.019,0,7.54365586357742e-68,0.834928629532879,0.506,0.105,1.38478890687691e-63,7.54365586357742e-68,0,"AT4G35070"
"AT4G18280",2.25709861946463e-302,3.79113485841786,0.626,0.115,4.14335593575121e-298,0,4.8330087100021,0.412,0.014,0,2.25709861946463e-302,0,"AT4G18280"
"AT3G05880",1.11138412854157e-296,2.46251801228318,0.84,0.236,2.04016784476377e-292,1.3305024777994e-190,1.19164816437095,0.537,0.045,2.44240339849636e-186,1.3305024777994e-190,2.22276825708306e-296,"AT3G05880"
"AT5G06710",1.2990091659907e-289,1.12767188914864,0.554,0.086,2.38459112600912e-285,2.58312018973501e-72,2.07316460728749,0.831,0.339,4.74183373229655e-68,2.58312018973501e-72,2.59801833198113e-289,"AT5G06710"
"AT1G05230",2.08896684383534e-281,0.906540172831129,0.454,0.058,3.83471643522854e-277,5.66298284771768e-98,1.53068337488719,0.8,0.199,1.03955376135553e-93,5.66298284771768e-98,4.17793368767063e-281,"AT1G05230"
"AT2G27385",3.2079967749948e-271,1.80072185008377,0.706,0.139,5.88891967985795e-267,2.51846456263776e-61,1.24896016501043,0.825,0.254,4.62314539763414e-57,2.51846456263776e-61,6.4159935499891e-271,"AT2G27385"
"AT5G44020",1.03051034038267e-238,1.06241881310833,0.646,0.123,1.89170783184047e-234,3.96300672319217e-122,1.75868388761876,0.613,0.086,7.27489144176387e-118,3.96300672319217e-122,2.06102068076524e-238,"AT5G44020"
"AT5G20270",1.32517237942821e-238,0.894064230878003,0.474,0.072,2.43261893691637e-234,1.51133646166588e-73,1.19152687761194,0.681,0.169,2.77436034268006e-69,1.51133646166588e-73,2.65034475885619e-238,"AT5G20270"
"AT1G27950",3.1112077529326e-237,1.15330475987701,0.765,0.174,5.71124407205837e-233,1.21234406120624e-64,1.5551944531181,0.894,0.288,2.2254999931563e-60,1.21234406120624e-64,6.22241550586463e-237,"AT1G27950"
"AT3G26744",4.50886354431713e-235,1.53052562211115,0.834,0.296,8.27692080830296e-231,3.88724104410284e-51,1.31125087578149,0.856,0.519,7.13580838465958e-47,3.88724104410284e-51,9.0177270886334e-235,"AT3G26744"
